hect,quad,tree,d0,d1,d2,fam,gen,sp
1,15,5502,,10.5,14,Fabaceae,Inga,Inga sp. 3
1,15,5503,,11.4,13.2,Anacardiaceae,Thyrsodium,Thyrsodium spruceanum Benth.
1,15,5504,,13.2,18.1,Melastomataceae,Miconia,Miconia burchellii Triana
1,15,5505,,12.4,19,Melastomataceae,Miconia,Miconia burchellii Triana
1,15,5506,,11.9,13,Melastomataceae,Miconia,Miconia cf. tetrasperma Gleason
1,15,6018,10,10.3,10.4,Meliaceae,Guarea,Guarea sp. 3
1,15,6019,11.6,11.8,11.6,Burseraceae,Protium,Protium apiculatum Swart
1,15,6020,10.7,12.3,15,Annonaceae,Bocageopsis,Bocageopsis multiflora (Mart.) R. E. Fries
1,15,6021,11.8,14.7,15.7,Melastomataceae,Miconia,Miconia cf. tetrasperma Gleason
1,15,6022,10,10.2,,Meliaceae,Trichilia,Trichilia micrantha Benth.
1,15,6541,,,11.3,Fabaceae,Inga,Inga thibaudiana DC.
1,15,6543,,,11.1,Euphorbiaceae,Pausandra,Pausandra macrostachya Ducke
1,15,6800,,,10.1,Fabaceae,Tachigali,Tachigali plumbea / Sclerolobium sp. 3
1,15,6801,,,10.2,Humiriaceae,Endopleura,Endopleura uchi (Huber) Cuatrec
1,16,346,20.6,21.7,23.4,Fabaceae,Paramachaerium,Paramachaerium ormosioides (Ducke) Ducke
1,16,347,17.8,19,21,Sapotaceae,Ecclinusa,Ecclinusa guianensis Eyma
1,16,348,11.2,11,11.1,Violaceae,Rinorea,Rinorea flavescens (Aubl.) Kuntze
1,16,349,45.8,46.7,47.4,Sapotaceae,Pouteria,Pouteria retinervis T. D. Penn.
1,16,350,24.8,25.9,,Annonaceae,Unonopsis,Unonopsis duckei R. E. Fries
1,16,351,30.8,33.8,31.5,Chrysobalanaceae,Licania,Licania heteromorpha Benth.
1,16,352,13.8,14.2,15,Lecythidaceae,Eschweilera,Eschweilera truncata A. C. Smith
1,16,353,10.4,10.5,10.3,Sapotaceae,Pouteria,Pouteria retinervis T. D. Penn.
1,16,354,10.1,10.3,10.4,Violaceae,Rinorea,Rinorea flavescens (Aubl.) Kuntze
1,16,355,67.3,67.5,68,Apocynaceae,Geissospermum,Geissospermum argenteum Woodson
1,16,356,13.2,13,14,Chrysobalanaceae,Licania,Licania sandwithii Prance
1,16,357,15.9,16,16.1,Lacistemataceae,Lacistema,Lacistema aggregatum (P. J. Bergius) Rusby
1,16,358,51.1,51,49,Apocynaceae,Geissospermum,Geissospermum argenteum Woodson
1,16,359,14.2,14.8,15.5,Sapotaceae,Micropholis,Micropholis guyanensis (A. DC.) Pierre
1,16,360,49.7,50,50.4,Lauraceae,Ocotea,Ocotea cinerea van der Werff
1,16,361,25.2,25.5,26,Lauraceae,Ocotea,Ocotea matogrossensis Vatt.
1,16,362,13.1,13.8,13.7,Lecythidaceae,Eschweilera,Eschweilera wachenheimii (Benoist) Sandw.
1,16,363,38.4,38.4,40.6,Elaeocarpaceae,Sloanea,Sloanea eichleri K. Schum.
1,16,364,10.6,10.8,10.7,Malvaceae,Theobroma,Theobroma sylvestre Mart.
1,16,365,28.5,28.5,28.5,Lecythidaceae,Eschweilera,Eschweilera romeu-cardosoi S. A. Mori
1,16,5252,12.3,13,13.5,Burseraceae,Protium,Protium hebetatum Daly
1,16,5253,11.1,11.7,12.7,Euphorbiaceae,Pausandra,Pausandra macrostachya Ducke
1,16,5507,,10.4,10.5,Lecythidaceae,Eschweilera,Eschweilera wachenheimii (Benoist) Sandw.
1,16,6023,10.5,12.4,13.9,Annonaceae,Bocageopsis,Bocageopsis multiflora (Mart.) R. E. Fries
1,16,6024,10.4,11.7,13,Burseraceae,Protium,Protium apiculatum Swart
1,16,6544,,,11.2,Burseraceae,Protium,Protium apiculatum Swart
1,17,366,25.4,25.6,25.9,Lecythidaceae,Eschweilera,Eschweilera wachenheimii (Benoist) Sandw.
1,17,367,12.5,12.5,12.4,Sapotaceae,Pouteria,Pouteria venosa (Mart.) Baehni
1,17,368,34.9,35.5,35.7,Lauraceae,Ocotea,Ocotea obliqua Vicentini
1,17,369,17.5,18.1,19.1,Olacaceae,Minquartia,Minquartia guianensis Aubl.
1,17,370,33.6,35.7,33.1,Malvaceae,Lueheopsis,Lueheopsis rosea (Ducke) Burret
1,17,371,19.8,19.8,20.2,Lauraceae,Licaria,Licaria cannella (Meissn.) Kosterm.
1,17,372,13,13.2,13.6,Burseraceae,Protium,Protium hebetatum Daly
1,17,373,16.5,16.5,,Lamiaceae,Vitex,Vitex triflora Vahl
1,17,374,35.2,37,36.7,Sapotaceae,Chrysophyllum,Chrysophyllum sanguinolentum (Pierre) Baehni
1,17,375,23.8,24,24.1,Lecythidaceae,Eschweilera,Eschweilera wachenheimii (Benoist) Sandw.
1,17,376,25.4,38,33.5,Sapotaceae,Pouteria,Pouteria aff. engleri Eyma
1,17,377,22.4,23.5,25.5,Moraceae,Helicostylis,Helicostylis tomentosa (Poepp. & Endl.) Rusby
1,17,378,25.4,25.5,25.8,Malvaceae,Lueheopsis,Lueheopsis rosea (Ducke) Burret
1,17,379,,,,Arecaceae,Oenocarpus,Oenocarpus bacaba Mart.
1,17,380,17.7,18,19.1,Annonaceae,Bocageopsis,Bocageopsis multiflora (Mart.) R. E. Fries
1,17,381,18.5,19,20.7,Sapotaceae,Ecclinusa,Ecclinusa guianensis Eyma
1,17,382,18.6,18.6,,Ebenaceae,Diospyros,Diospyros duckei Sandw.
1,17,5508,,12.4,17.3,Arecaceae,Oenocarpus,Oenocarpus bacaba Mart.
1,17,6025,10.2,10.4,11.8,Sapotaceae,Pouteria,Pouteria macrophylla (Lam.) Eyma
1,17,6545,,,10,Lecythidaceae,Eschweilera,Eschweilera wachenheimii (Benoist) Sandw.
1,17,6546,,,11,Fabaceae,Swartzia,Swartzia reticulata Ducke
1,17,6547,,,10.3,Violaceae,Rinorea,Rinorea sp. 1
1,18,383,41.7,42.9,44,Fabaceae,Abarema,Abarema cochleata (Willd.) Barneby & J. W. Grimes
1,18,384,19,20.6,21.3,Lecythidaceae,Eschweilera,Eschweilera wachenheimii (Benoist) Sandw.
1,18,385,35.4,36,,Fabaceae,Cynometra,Cynometra longicuspis Ducke
1,18,386,26,26.8,,Olacaceae,Minquartia,Minquartia guianensis Aubl.
1,18,387,10.6,10.8,11.3,Malvaceae,Theobroma,Theobroma sylvestre Mart.
1,18,388,30.7,33,32.5,Sapotaceae,Pouteria,Pouteria sp. 10
1,18,389,12.7,13.5,14,Lecythidaceae,Eschweilera,Eschweilera wachenheimii (Benoist) Sandw.
1,18,390,10.3,10.3,10.4,Anacardiaceae,Thyrsodium,Thyrsodium spruceanum Benth.
1,18,391,,,,Myrtaceae,Marlierea,Marlierea umbraticola (Kunth) O. Berg
1,18,392,46,46.2,46.4,Apocynaceae,Geissospermum,Geissospermum argenteum Woodson
1,18,393,24.1,24.5,24.4,Myrtaceae,Marlierea,Marlierea spruceana O. Berg
1,18,394,16.3,17.1,18.5,Lauraceae,Ocotea,Ocotea nigrescens Vicentini
1,18,395,12.1,12.2,12.6,Sapotaceae,Pouteria,Pouteria venosa (Mart.) Baehni
1,18,396,,,,Annonaceae,Guatteria,Guatteria sp. 2 (Guia Ducke)
1,18,397,11.3,11.6,11.9,Chrysobalanaceae,Licania,Licania heteromorpha Benth.
1,18,398,17.8,18,19.6,Fabaceae,Inga,Inga sp. 15
1,18,399,10.7,11,12.2,Lacistemataceae,Lacistema,Lacistema sp. 1
1,18,400,65,66.4,67.2,Fabaceae,Inga,Inga alba (Sw.) Willd.
1,18,5119,10.4,10.5,10.5,Lecythidaceae,Eschweilera,Eschweilera wachenheimii (Benoist) Sandw.
1,18,5254,12,12.9,13.5,Fabaceae,,Fabaceae sp. 7
1,18,5255,10.4,11.6,11.1,Moraceae,Naucleopsis,Naucleopsis caloneura (Huber) Ducke
1,18,5509,,10.1,10.7,Sapotaceae,Pouteria,Pouteria campanulata Baehni
1,18,6026,15.4,20.4,25.7,Melastomataceae,Miconia,Miconia burchellii Triana
1,18,6027,11.9,14,15.7,Fabaceae,Sclerolobium,Sclerolobium melinonii Harms
1,18,6548,,,10.3,Burseraceae,Protium,Protium nitidifolium (Cuatrec.) Daly
1,18,6802,,,10.1,Bignoniaceae,Jacaranda,Jacaranda copaia (Aubl.) D. Don
1,19,401,16.9,17.9,19.4,Chrysobalanaceae,Licania,Licania occultans Prance
1,19,402,19.9,25,22.3,Sapotaceae,Pouteria,Pouteria aff. engleri Eyma
1,19,403,12,12.9,13.2,Violaceae,Amphirrhox,Amphirrhox longifolia (A. St.-Hil.) Spreng.
1,19,404,24.2,24.5,24.9,Euphorbiaceae,Hevea,Hevea guianensis Aubl.
1,19,405,16.2,16.2,16.3,Lecythidaceae,Eschweilera,Eschweilera pseudodecolorans S. A. Mori
1,19,406,69.5,67.6,68.3,Sapotaceae,Pouteria,Pouteria hispida Eyma
1,19,407,28.2,28.2,28.8,Sapotaceae,Ecclinusa,Ecclinusa guianensis Eyma
1,19,408,22.3,22.7,24.3,Burseraceae,Protium,Protium apiculatum Swart
1,19,409,36.3,36.3,36.6,Lecythidaceae,Lecythis,Lecythis prancei S. A. Mori
1,19,410,30.1,29.9,,Sapotaceae,Pouteria,Pouteria sp. 3
1,19,411,19.3,20.8,23.4,Chrysobalanaceae,Hirtella,Hirtella rodriguesii Prance
